Book_ID,Member_ID,Checkout_Date,Return_Date
B082,M259,2023-01-01,
B322,M411,2023-01-01,2023-01-10
B388,M025,2023-01-01,2023-01-22
B253,M005,2023-01-01,
B056,M358,2023-01-01,
B361,M457,2023-01-01,2023-02-01
B497,M468,2023-01-01,2023-01-10
B255,M322,2023-01-01,2023-01-19
B195,M215,2023-01-01,2023-01-06
B238,M165,2023-01-01,2023-01-02
B073,M287,2023-01-01,2023-01-06
B337,M132,2023-01-01,2023-01-13
B252,M049,2023-01-01,2023-01-14
B410,M212,2023-01-01,2023-01-04
B002,M043,2023-01-01,2023-01-14
B253,M046,2023-01-01,2023-01-06
B097,M361,2023-01-01,2023-01-06
B068,M141,2023-01-02,2023-01-13
B121,M224,2023-01-02,
B035,M005,2023-01-02,2023-02-20
B052,M330,2023-01-02,
B381,M372,2023-01-02,2023-01-20
B019,M441,2023-01-02,2023-01-20
B225,M299,2023-01-03,2023-01-18
B271,M347,2023-01-03,2023-01-22
B076,M187,2023-01-03,2023-01-07
B251,M103,2023-01-03,2023-01-13
B479,M289,2023-01-03,2023-01-22
B376,M004,2023-01-03,
B285,M108,2023-01-03,2023-01-10
B213,M281,2023-01-04,
B061,M327,2023-01-04,2023-02-09
B005,M426,2023-01-04,2023-01-15
B047,M235,2023-01-04,2023-01-14
B119,M492,2023-01-04,2023-01-17
B148,M162,2023-01-04,2023-01-16
B423,M373,2023-01-04,2023-01-20
B341,M246,2023-01-05,2023-01-27
B382,M379,2023-01-05,2023-01-19
B211,M227,2023-01-05,
B295,M158,2023-01-05,
B287,M026,2023-01-05,2023-01-11
B014,M398,2023-01-05,2023-01-17
B154,M471,2023-01-05,2023-01-11
B371,M331,2023-01-05,2023-01-14
B087,M449,2023-01-05,
B166,M471,2023-01-05,2023-01-17
B012,M021,2023-01-05,2023-01-10
B147,M422,2023-01-05,2023-01-14
B385,M483,2023-01-05,2023-01-19
B144,M322,2023-01-06,2023-01-12
B327,M156,2023-01-06,2023-02-02
B319,M278,2023-01-06,2023-01-22
B080,M188,2023-01-06,2023-01-16
B467,M301,2023-01-06,2023-01-26
B192,M196,2023-01-06,2023-01-20
B156,M455,2023-01-06,
B449,M455,2023-01-06,2023-01-14
B480,M167,2023-01-07,2023-01-22
B192,M415,2023-01-07,2023-01-14
B479,M465,2023-01-07,2023-01-19
B478,M099,2023-01-07,2023-02-12
B086,M359,2023-01-07,2023-02-05
B133,M392,2023-01-07,2023-01-23
B386,M040,2023-01-07,2023-01-15
B204,M210,2023-01-07,2023-01-21
B155,M049,2023-01-07,2023-01-13
B133,M488,2023-01-07,2023-01-15
B461,M410,2023-01-07,2023-02-03
B430,M273,2023-01-07,
B045,M388,2023-01-08,2023-01-21
B497,M399,2023-01-08,2023-02-01
B270,M497,2023-01-08,2023-01-19
B280,M313,2023-01-08,2023-01-19
B133,M471,2023-01-08,2023-01-13
B052,M396,2023-01-08,
B191,M274,2023-01-08,2023-01-18
B092,M330,2023-01-09,
B373,M044,2023-01-09,2023-01-14
